"Flugpassagiere im Linien- und Charterverkehr"
"FILTER:Flugpassagiere im Linien- und Charterverkehr nach Flughafen, Art des Verkehrs, Art der Passagiere, Monat und Jahr"
"Schweiz";"Linienverkehr";"Lokal- und Transferpassagiere";"August";...;...;...;...;...;...;...;...;...;...;...;2813487;2815026;2356046;2295061;2282060;2543302;2786885;3076885;3396862;3358352;3638118;3862414;4062105;4283038;4610818;4846337;5047861;5327983;5582998;5660559
"Schweiz";"Linienverkehr";"Lokal- und Transferpassagiere";"September";...;...;...;...;...;...;...;...;...;...;...;2801866;2594984;2303853;2164615;2253706;2480592;2734498;2957407;3133681;3143303;3456966;3702956;3848953;3964865;4197809;4399618;4637657;4949019;5148223;5173911
"Schweiz";"Linienverkehr";"Lokal- und Transferpassagiere";"Oktober";...;...;...;...;...;...;...;...;...;...;...;2842055;1869792;2292012;2252446;2272003;2461636;2742156;2990513;3143792;3269681;3562993;3744115;3802060;3937376;4205683;4399744;4733843;4938383;5161289;...
"Schweiz";"Linienverkehr";"Lokal- und Transferpassagiere";"November";...;...;...;...;...;...;...;...;...;...;...;2287013;1571540;1864749;1788727;1901906;2072027;2299223;2526509;2511215;2677797;2869154;2974796;3083090;3096823;3223319;3399810;3529128;3675499;3897822;...
"Schweiz";"Linienverkehr";"Lokal- und Transferpassagiere";"Dezember";...;...;...;...;...;...;...;...;...;...;...;2294697;1765803;1927748;1928014;2051767;2242793;2533051;2696652;2656237;2849282;2916323;3229452;3275341;3338028;3517320;3603897;3947465;4099575;4328391;...
"Schweiz";"Linienverkehr";"Transitpassagiere";"Jahrestotal";...;...;...;...;...;...;...;...;...;...;...;501200;394990;395960;280580;241671;282621;354107;222872;214422;179487;106256;100664;95754;89498;71037;54917;50590;48348;39196;...
"Schweiz";"Linienverkehr";"Transitpassagiere";"Januar";...;...;...;...;...;...;...;...;...;...;...;45707;30646;28582;19781;22544;25872;31869;26913;18447;12653;10664;9740;5378;4880;6799;5589;6661;4768;4084;5450
"Schweiz";"Linienverkehr";"Transitpassagiere";"Februar";...;...;...;...;...;...;...;...;...;...;...;43622;33658;25845;22723;21169;22758;26319;22984;15390;6856;8891;8293;5524;6612;6430;7197;6054;6285;1882;4630
"Schweiz";"Linienverkehr";"Transitpassagiere";"März";...;...;...;...;...;...;...;...;...;...;...;48560;37217;33567;21809;22930;24819;27536;29295;17391;12832;9829;8075;6154;8896;8737;5609;7269;5573;4884;4934
"Schweiz";"Linienverkehr";"Transitpassagiere";"April";...;...;...;...;...;...;...;...;...;...;...;43384;33775;32109;20196;16095;23106;33511;24630;19529;15055;7591;9167;7682;6420;8026;2476;2996;1900;2566;2388
"Schweiz";"Linienverkehr";"Transitpassagiere";"Mai";...;...;...;...;...;...;...;...;...;...;...;35042;33916;35749;24271;17160;23486;26463;11944;23798;18632;8389;9164;9170;10369;8433;2335;3488;2738;2331;4604
"Schweiz";"Linienverkehr";"Transitpassagiere";"Juni";...;...;...;...;...;...;...;...;...;...;...;36442;35218;36851;27513;16896;22667;28073;11998;22563;14906;9060;8352;12201;9207;5012;3935;4103;2426;4716;7970
"Schweiz";"Linienverkehr";"Transitpassagiere";"Juli";...;...;...;...;...;...;...;...;...;...;...;50334;39402;37955;24105;20423;23649;29136;19835;19895;18206;8894;11892;9127;5382;3395;3300;3785;2989;3683;8102
"Schweiz";"Linienverkehr";"Transitpassagiere";"August";...;...;...;...;...;...;...;...;...;...;...;51891;30683;38010;23627;18616;20718;32097;19189;21865;17712;7736;9254;11426;8656;3824;3567;2562;2790;4023;8545
"Schweiz";"Linienverkehr";"Transitpassagiere";"September";...;...;...;...;...;...;...;...;...;...;...;43409;26625;34334;23981;18861;21241;29058;15496;18772;16621;8832;8929;9963;7227;4015;3608;3325;3668;2014;7655
"Schweiz";"Linienverkehr";"Transitpassagiere";"Oktober";...;...;...;...;...;...;...;...;...;...;...;43130;35063;38407;26043;19355;17625;29717;12214;17781;17189;8989;6358;7909;6941;4591;4050;3138;4495;2791;...
"Schweiz";"Linienverkehr";"Transitpassagiere";"November";...;...;...;...;...;...;...;...;...;...;...;31749;31167;29373;24842;22706;28103;30093;12304;8567;13908;8088;5608;4827;6841;6021;6038;2939;4952;3000;...
"Schweiz";"Linienverkehr";"Transitpassagiere";"Dezember";...;...;...;...;...;...;...;...;...;...;...;27930;27614;25178;21689;24916;28577;30235;16070;10424;14917;9293;5832;6393;8067;5754;7213;4270;5764;3222;...
"Schweiz";"Charterverkehr";"Lokal- und Transferpassagiere";"Jahrestotal";41022;137323;976936;1613283;2020245;2512970;3681340;3373923;3576564;3322957;3398247;3522854;3356535;3166327;2984620;3074237;2763237;2470001;2240899;1774796;1381990;1017346;1069301;1102634;825643;847977;766381;466259;460591;614750;...
"Schweiz";"Charterverkehr";"Lokal- und Transferpassagiere";"Januar";...;...;...;...;...;...;...;...;...;...;...;216382;206755;186285;195082;209586;202088;162968;158229;126705;126104;96532;91652;82556;62983;50858;53772;43118;38272;42288;34725
"Schweiz";"Charterverkehr";"Lokal- und Transferpassagiere";"Februar";...;...;...;...;...;...;...;...;...;...;...;206632;207294;200079;196146;203833;195495;166623;165158;143355;116191;80081;75985;77237;65001;57962;49109;34627;34866;39839;32404
