"Flugbewegungen (Starts und Landungen) im Linien- und Charterverkehr"
"FILTER:Flugbewegungen (Starts und Landungen) im Linien- und Charterverkehr nach Flughafen, Art des Verkehrs, Monat, Jahr"
">> Landesflughäfen";"Art des Verkehrs - Total";"Mai";...;...;...;...;...;...;...;...;...;...;...;44244;42809;37706;33722;32953;34574;33822;34777;36251;33648;34479;37495;37236;37225;37944;38615;39213;39752;39694;40968
">> Landesflughäfen";"Art des Verkehrs - Total";"Juni";...;...;...;...;...;...;...;...;...;...;...;42727;41944;37596;33818;33380;34387;33578;34481;36445;33582;35028;36700;37329;36913;38680;38485;38849;39260;39616;40845
">> Landesflughäfen";"Art des Verkehrs - Total";"Juli";...;...;...;...;...;...;...;...;...;...;...;45513;43829;40298;36083;35550;35885;34550;35937;37182;35089;36762;38554;39147;39310;40617;41066;41735;41420;42271;42796
">> Landesflughäfen";"Art des Verkehrs - Total";"August";...;...;...;...;...;...;...;...;...;...;...;45268;43573;39771;35460;34598;35307;33873;35598;36371;34454;36000;37791;38310;38306;40237;40604;41272;40876;42002;42193
">> Landesflughäfen";"Art des Verkehrs - Total";"September";...;...;...;...;...;...;...;...;...;...;...;43334;41764;37932;34095;34570;34607;33304;34865;35616;34011;35476;37602;37481;37494;39128;39381;40029;39974;40764;40921
">> Landesflughäfen";"Art des Verkehrs - Total";"Oktober";...;...;...;...;...;...;...;...;...;...;...;44233;36251;39483;34546;35366;34947;33834;35724;36164;34609;36390;37918;37584;37336;39298;39265;39947;40333;41731;...
">> Landesflughäfen";"Art des Verkehrs - Total";"November";...;...;...;...;...;...;...;...;...;...;...;40855;34198;35964;29998;32790;30452;30876;32429;31172;31052;32324;32995;32865;32069;32728;32705;33076;32980;34564;...
">> Landesflughäfen";"Art des Verkehrs - Total";"Dezember";...;...;...;...;...;...;...;...;...;...;...;39319;33221;35389;30017;31907;31000;31505;32839;31735;31324;31185;34185;33397;32697;33808;34055;35249;34760;36905;...
">> Landesflughäfen";"Linienverkehr";"Jahrestotal";23919;76851;159428;193213;208889;278252;327464;356063;374390;400786;440110;469854;446618;414394;380131;368056;377356;370737;387788;400963;383119;392857;424888;424871;421767;431833;437589;447527;449526;456547;...
">> Landesflughäfen";"Linienverkehr";"Januar";...;...;...;...;...;...;...;...;...;...;...;37912;39627;33694;34683;29347;31213;31004;31326;33198;31360;31298;34595;34157;33595;33266;34023;34225;34771;34611;35949
">> Landesflughäfen";"Linienverkehr";"Februar";...;...;...;...;...;...;...;...;...;...;...;36680;36196;31368;32232;28132;29434;28682;29542;31945;29056;29950;32199;33108;31526;31265;32055;33845;33004;32798;33878
">> Landesflughäfen";"Linienverkehr";"März";...;...;...;...;...;...;...;...;...;...;...;39868;40252;34642;35813;30718;32713;32094;33066;34179;32970;33916;36379;36450;35543;35499;36433;36814;37505;37259;38706
">> Landesflughäfen";"Linienverkehr";"April";...;...;...;...;...;...;...;...;...;...;...;38863;38198;33861;30963;29860;31970;30297;32032;33808;32395;27854;35268;35142;35519;35508;36560;36919;38130;38405;39576
">> Landesflughäfen";"Linienverkehr";"Mai";...;...;...;...;...;...;...;...;...;...;...;40788;39720;34893;31263;30427;32213;31949;33064;34794;32387;33368;36818;36483;36593;37305;37960;38683;39405;39315;40568
">> Landesflughäfen";"Linienverkehr";"Juni";...;...;...;...;...;...;...;...;...;...;...;39083;38655;34560;31141;30733;32000;31445;32467;34346;32306;33854;35933;36407;36180;37927;37737;38461;38954;39176;40349
">> Landesflughäfen";"Linienverkehr";"Juli";...;...;...;...;...;...;...;...;...;...;...;40444;39658;36510;32749;32029;32574;31678;33516;35243;33311;35259;37373;37706;38217;39555;40028;41120;40873;41541;42195
">> Landesflughäfen";"Linienverkehr";"August";...;...;...;...;...;...;...;...;...;...;...;40538;39479;35828;31947;31436;32308;31348;33275;34456;32691;34939;36781;37117;37332;39140;39641;40701;40371;41319;41565
">> Landesflughäfen";"Linienverkehr";"September";...;...;...;...;...;...;...;...;...;...;...;39359;38045;34775;31262;31632;32053;30875;32680;33866;32661;34643;36707;36443;36681;38292;38629;39611;39583;40238;40354
">> Landesflughäfen";"Linienverkehr";"Oktober";...;...;...;...;...;...;...;...;...;...;...;40407;32725;36235;31382;32116;32022;31507;33604;34358;33130;35203;36707;36496;36570;38266;38370;39397;39822;41094;...
">> Landesflughäfen";"Linienverkehr";"November";...;...;...;...;...;...;...;...;...;...;...;38911;32689;34378;28328;31278;29245;29719;31469;30103;30391;31966;32532;32438;31792;32422;32456;32848;32725;34263;...
">> Landesflughäfen";"Linienverkehr";"Dezember";...;...;...;...;...;...;...;...;...;...;...;37001;31374;33650;28368;30348;29611;30139;31747;30667;30461;30607;33596;32924;32219;33388;33697;34903;34383;36528;...
">> Landesflughäfen";"Charterverkehr";"Jahrestotal";6777;15921;20066;18600;24803;34458;40980;38422;40317;37204;37357;39730;35443;32258;29782;29516;27072;23437;21092;18511;15277;12064;9605;10276;8144;8302;7760;5261;4875;5829;...
">> Landesflughäfen";"Charterverkehr";"Januar";...;...;...;...;...;...;...;...;...;...;...;2560;2466;2057;2037;1968;1935;1618;1511;1268;1246;1121;767;712;566;472;527;455;443;442;389
">> Landesflughäfen";"Charterverkehr";"Februar";...;...;...;...;...;...;...;...;...;...;...;2319;2194;1926;1890;1910;1795;1561;1422;1279;1183;1013;649;670;565;536;442;383;381;395;331
">> Landesflughäfen";"Charterverkehr";"März";...;...;...;...;...;...;...;...;...;...;...;2645;2615;2496;2348;2079;2114;1607;1660;1541;1243;1140;680;788;710;595;526;420;408;489;381
">> Landesflughäfen";"Charterverkehr";"April";...;...;...;...;...;...;...;...;...;...;...;3244;2924;2469;2208;2444;2095;1969;1671;1320;1174;985;716;771;537;554;607;357;404;430;354
">> Landesflughäfen";"Charterverkehr";"Mai";...;...;...;...;...;...;...;...;...;...;...;3456;3089;2813;2459;2526;2361;1873;1713;1457;1261;1111;677;753;632;639;655;530;347;379;400
">> Landesflughäfen";"Charterverkehr";"Juni";...;...;...;...;...;...;...;...;...;...;...;3644;3289;3036;2677;2647;2387;2133;2014;2099;1276;1174;767;922;733;753;748;388;306;440;496
">> Landesflughäfen";"Charterverkehr";"Juli";...;...;...;...;...;...;...;...;...;...;...;5069;4171;3788;3334;3521;3311;2872;2421;1939;1778;1503;1181;1441;1093;1062;1038;615;547;730;601
">> Landesflughäfen";"Charterverkehr";"August";...;...;...;...;...;...;...;...;...;...;...;4730;4094;3943;3513;3162;2999;2525;2323;1915;1763;1061;1010;1193;974;1097;963;571;505;683;628
">> Landesflughäfen";"Charterverkehr";"September";...;...;...;...;...;...;...;...;...;...;...;3975;3719;3157;2833;2938;2554;2429;2185;1750;1350;833;895;1038;813;836;752;418;391;526;567
">> Landesflughäfen";"Charterverkehr";"Oktober";...;...;...;...;...;...;...;...;...;...;...;3826;3526;3248;3164;3250;2925;2327;2120;1806;1479;1187;1211;1088;766;1032;895;550;511;637;...
">> Landesflughäfen";"Charterverkehr";"November";...;...;...;...;...;...;...;...;...;...;...;1944;1509;1586;1670;1512;1207;1157;960;1069;661;358;463;427;277;306;249;228;255;301;...
">> Landesflughäfen";"Charterverkehr";"Dezember";...;...;...;...;...;...;...;...;...;...;...;2318;1847;1739;1649;1559;1389;1366;1092;1068;863;578;589;473;478;420;358;346;377;377;...
"... Basel-Mulhouse";"Art des Verkehrs - Total";"Jahrestotal";2465;13533;19936;23911;31336;48759;60458;67991;72614;81140;96866;99590;94458;83284;59878;53606;57901;56168;57141;56868;52013;53933;62169;61754;63094;66218;67814;68672;70368;73225;...
"... Basel-Mulhouse";"Art des Verkehrs - Total";"Januar";...;...;...;...;...;...;...;...;...;...;...;7725;7881;6736;6236;3845;4314;4221;4293;4241;3688;3782;4465;4610;4375;4340;4478;4429;4496;4723;4876
"... Basel-Mulhouse";"Art des Verkehrs - Total";"Februar";...;...;...;...;...;...;...;...;...;...;...;7762;7152;6406;5799;3845;4159;3943;4243;4245;3631;3830;4194;4510;4326;4355;4565;4822;4709;4685;4903
"... Basel-Mulhouse";"Art des Verkehrs - Total";"März";...;...;...;...;...;...;...;...;...;...;...;8408;8068;7030;6320;4320;4644;4445;4788;4521;4231;4413;5035;5102;4917;4986;5364;5316;5470;5518;5889
"... Basel-Mulhouse";"Art des Verkehrs - Total";"April";...;...;...;...;...;...;...;...;...;...;...;8217;7960;7073;4776;4298;4776;4565;4833;5010;4425;3899;5184;5151;5406;5624;5993;5862;6004;6105;6750
